medicine_id,medicine_name,category,price,stock_quantity,expiry_date,batch_number,manufacturer,storage_condition
MED-1058,Metline,Antibiotic,121.92,132,27-07-2028,BN-45940,"Pace, Hoffman and Brown Pharma",Room Temp
MED-1059,Cetinol,Dermatology,62.66,360,12-05-2027,BN-94252,Kim Ltd Pharma,Refrigerated
MED-1060,Cetitin,Analgesic,107.96,232,22-01-2027,BN-44235,Jackson-Jones Pharma,Cool/Dry
MED-1061,Glycopril,Antiviral,83.44,492,13-02-2028,BN-21503,"Young, Greene and Craig Pharma",Room Temp
MED-1062,Althozen,Antibiotic,16.83,270,30-12-2026,BN-13381,Rice-Stevens Pharma,Cool/Dry
MED-1063,Lipomab,Cardiology,19.72,327,31-12-2028,BN-85068,"Williams, Johnson and Holmes Pharma",Refrigerated
MED-1064,Althomab,Antiviral,96.31,142,09-05-2028,BN-94090,Davis Group Pharma,Cool/Dry
MED-1065,Ibutin,Analgesic,74.71,396,14-02-2027,BN-15355,"Hogan, West and Buck Pharma",Room Temp
MED-1066,Lipomab,Dermatology,146.43,22,27-06-2027,BN-73076,Lee-Whitehead Pharma,Refrigerated
MED-1067,Mettin,Cardiology,9.72,226,30-08-2027,BN-14666,Foster-Espinoza Pharma,Cool/Dry
MED-1068,Zyrzen,Dermatology,122.34,303,26-12-2028,BN-42340,Castillo-Davis Pharma,Cool/Dry
MED-1069,Althofen,Analgesic,148.23,189,03-05-2028,BN-70729,"Aguirre, Rogers and Richardson Pharma",Cool/Dry
MED-1070,Exerpril,Cardiology,142.8,417,20-12-2028,BN-84305,Fletcher-Barnes Pharma,Cool/Dry
MED-1071,Dolodex,Cardiology,93.72,292,12-10-2027,BN-26061,Hamilton-Ross Pharma,Cool/Dry
MED-1072,Dolozen,Antibiotic,128.19,238,19-10-2028,BN-84778,"Bruce, Aguilar and Miller Pharma",Cool/Dry
MED-1073,Lipoline,Cardiology,33.5,257,05-10-2026,BN-52052,Chen Group Pharma,Refrigerated
MED-1074,Ibutin,Antiviral,31.59,298,03-01-2028,BN-99368,"Ramirez, Miller and Ortiz Pharma",Room Temp
MED-1075,Ibuline,Antiviral,93.32,269,26-06-2028,BN-54199,Hodges-Robinson Pharma,Refrigerated
MED-1076,Cetizole,Cardiology,42.88,130,17-12-2028,BN-73614,Mathis-Chen Pharma,Room Temp
MED-1077,Cetinol,Antibiotic,98.18,234,04-02-2029,BN-65243,"Zimmerman, Moreno and Alvarez Pharma",Room Temp
MED-1078,Liponol,Cardiology,112.71,342,23-10-2026,BN-21041,"Green, Peterson and Mccann Pharma",Refrigerated
MED-1079,Cetitin,Dermatology,147.71,284,28-09-2028,BN-42422,"Gould, Price and Jones Pharma",Cool/Dry
MED-1080,Ibudex,Antiviral,107.53,70,01-08-2027,BN-56664,Page LLC Pharma,Refrigerated
MED-1081,Panzen,Antiviral,34.82,31,06-03-2027,BN-76785,"Walker, Ramirez and Perez Pharma",Refrigerated
MED-1082,Lipofen,Dermatology,41.5,323,02-09-2028,BN-20975,Fuentes Inc Pharma,Refrigerated
MED-1083,Panvin,Antiviral,75.78,429,01-07-2028,BN-12029,Williams-Martinez Pharma,Refrigerated
MED-1084,Ibuline,Cardiology,54.75,253,04-04-2028,BN-12768,Clarke-Hill Pharma,Cool/Dry
MED-1085,Exerfen,Antibiotic,80.77,60,12-08-2028,BN-24561,Obrien-Lopez Pharma,Cool/Dry
MED-1086,Ibupril,Cardiology,140.22,117,21-05-2027,BN-73305,Mckinney-Roberts Pharma,Refrigerated
MED-1087,Ibuvin,Analgesic,41.65,492,01-07-2028,BN-63112,Oconnor-Smith Pharma,Cool/Dry
MED-1088,Mettin,Analgesic,65.45,231,05-01-2029,BN-99050,Meyer PLC Pharma,Room Temp
MED-1089,Cetinol,Analgesic,60.8,403,09-09-2026,BN-72481,Day and Sons Pharma,Refrigerated
MED-1090,Metline,Dermatology,136.15,449,06-06-2028,BN-76415,Garcia-Jones Pharma,Refrigerated
MED-1091,Althofen,Cardiology,70.94,173,23-11-2028,BN-94412,Boyd-Smith Pharma,Refrigerated
MED-1092,Zyrzen,Analgesic,79.89,225,22-01-2029,BN-29396,Hodge and Sons Pharma,Cool/Dry
MED-1093,Exervin,Antibiotic,100.58,406,09-07-2027,BN-12386,"Pearson, Klein and Hughes Pharma",Cool/Dry
MED-1094,Panmab,Analgesic,102.01,438,12-10-2027,BN-12306,Ortiz PLC Pharma,Refrigerated
MED-1095,Ibupril,Cardiology,96.52,145,17-04-2028,BN-45900,"Gomez, Douglas and Davis Pharma",Cool/Dry
MED-1096,Panline,Antibiotic,111.74,219,02-10-2027,BN-87328,Ellis LLC Pharma,Cool/Dry
MED-1097,Panvin,Analgesic,104.18,183,01-10-2027,BN-27497,Mathews-Zimmerman Pharma,Refrigerated
MED-1098,Cetinol,Antibiotic,88.21,314,29-07-2027,BN-14940,Goodwin PLC Pharma,Room Temp
MED-1099,Cetivin,Analgesic,92.1,144,12-08-2028,BN-51040,"Allen, Moore and Coffey Pharma",Cool/Dry
MED-1100,Zyrfen,Dermatology,62.09,307,31-12-2027,BN-13451,Ellis Ltd Pharma,Cool/Dry
MED-1101,Dolonol,Dermatology,111.37,485,17-05-2028,BN-97362,"Anderson, Mora and Christensen Pharma",Refrigerated
MED-1102,Dolovin,Antiviral,85.73,4,09-01-2027,BN-76524,Fuller LLC Pharma,Cool/Dry
MED-1103,Metvin,Cardiology,73.76,110,04-06-2027,BN-81893,Martin-Coleman Pharma,Refrigerated
MED-1104,Lipovin,Dermatology,32.52,339,01-06-2028,BN-13342,"Ramos, Howard and Rush Pharma",Refrigerated
MED-1105,Glycofen,Antibiotic,53.66,180,30-09-2027,BN-91795,Williams Ltd Pharma,Refrigerated
MED-1106,Cetizole,Dermatology,62.34,55,14-10-2027,BN-51160,"Smith, Mcdonald and Adams Pharma",Cool/Dry
MED-1107,Glycodex,Analgesic,51.97,300,29-03-2027,BN-90831,Paul-Ortiz Pharma,Cool/Dry
MED-1108,Ibutin,Antiviral,59.97,90,11-06-2028,BN-23547,Schmidt-Hutchinson Pharma,Room Temp
MED-1109,Glyconol,Antibiotic,91.2,49,29-10-2028,BN-88015,Knox PLC Pharma,Room Temp
MED-1110,Lipovin,Analgesic,10.6,368,27-12-2028,BN-47944,Tran PLC Pharma,Cool/Dry
MED-1111,Metpril,Antibiotic,24.58,432,25-02-2028,BN-49664,Ryan Ltd Pharma,Cool/Dry
MED-1112,Lipovin,Dermatology,139.37,151,31-10-2026,BN-70103,Johnson PLC Pharma,Room Temp
MED-1113,Lipomab,Dermatology,117.99,421,21-04-2028,BN-61761,Duncan-Lewis Pharma,Cool/Dry
MED-1114,Lipofen,Analgesic,43.31,279,21-02-2029,BN-92622,Melton Ltd Pharma,Room Temp
MED-1115,Dolodex,Antiviral,113.29,104,03-04-2028,BN-85762,Griffith-Blankenship Pharma,Refrigerated
MED-1116,Althonol,Dermatology,101.1,475,10-10-2026,BN-59321,"Ford, Washington and Willis Pharma",Cool/Dry
MED-1117,Glycozole,Cardiology,100.57,202,22-06-2027,BN-78312,Freeman Inc Pharma,Room Temp
MED-1118,Lipodex,Dermatology,45.67,339,03-03-2029,BN-61176,Combs LLC Pharma,Cool/Dry
MED-1119,Cetiline,Antibiotic,27.59,426,27-10-2028,BN-17317,Cross Inc Pharma,Room Temp
MED-1120,Zyrvin,Antibiotic,129.51,500,27-02-2027,BN-46480,"Dudley, Garcia and Hudson Pharma",Room Temp
MED-1121,Lipodex,Dermatology,145.29,378,17-06-2027,BN-17269,Brown Ltd Pharma,Room Temp
MED-1122,Lipotin,Analgesic,8.08,112,24-02-2029,BN-90589,Roach Ltd Pharma,Cool/Dry
MED-1123,Ibuzen,Antiviral,74.39,382,23-05-2028,BN-22342,"Goodman, Matthews and Hall Pharma",Room Temp
MED-1124,Lipomab,Analgesic,113.62,122,08-01-2029,BN-65330,Lloyd-Brock Pharma,Refrigerated
MED-1125,Zyrdex,Cardiology,100.94,443,09-09-2028,BN-93204,Bush-Robertson Pharma,Refrigerated
MED-1126,Dolotin,Cardiology,8.62,12,06-10-2027,BN-43674,Williams PLC Pharma,Cool/Dry
MED-1127,Panfen,Antiviral,57.5,342,26-09-2026,BN-26726,Jennings-Hayes Pharma,Room Temp
MED-1128,Glycotin,Dermatology,79.37,201,26-10-2028,BN-32150,Richards and Sons Pharma,Cool/Dry
MED-1129,Dolofen,Analgesic,56.94,156,16-01-2027,BN-89035,Avery Inc Pharma,Cool/Dry
MED-1130,Althozen,Antiviral,35.57,476,23-11-2028,BN-73290,Caldwell-Howard Pharma,Refrigerated
MED-1131,Cetidex,Dermatology,87.64,215,14-08-2028,BN-76885,Golden PLC Pharma,Cool/Dry
MED-1132,Ibudex,Analgesic,62.78,202,10-06-2027,BN-78827,Russell-Jones Pharma,Room Temp
MED-1133,Exerzen,Analgesic,136.67,264,16-06-2028,BN-23391,Greene-Ross Pharma,Room Temp
MED-1134,Exerpril,Analgesic,123.05,391,04-07-2028,BN-89334,King-Edwards Pharma,Cool/Dry
MED-1135,Dolotin,Cardiology,104.17,68,17-06-2027,BN-59834,Oneal LLC Pharma,Room Temp
MED-1136,Glycopril,Dermatology,128.94,239,12-02-2028,BN-50142,"Weeks, Jones and Reyes Pharma",Refrigerated
MED-1137,Dolozole,Cardiology,105.92,420,15-01-2027,BN-31619,Jackson LLC Pharma,Refrigerated
MED-1138,Lipofen,Antiviral,106.67,245,02-09-2028,BN-84143,Ferguson Ltd Pharma,Room Temp
MED-1139,Dolotin,Dermatology,144.13,170,17-12-2026,BN-81549,Jordan-Dalton Pharma,Room Temp
MED-1140,Glycozen,Cardiology,91.91,45,19-12-2028,BN-38496,Chambers-Harding Pharma,Cool/Dry
MED-1141,Exervin,Analgesic,24.16,276,15-01-2029,BN-41977,Melendez-Richardson Pharma,Cool/Dry
MED-1142,Glyconol,Antibiotic,29.07,36,21-02-2027,BN-44418,"Moore, Finley and Guerra Pharma",Room Temp
MED-1143,Metdex,Analgesic,87.84,11,04-03-2029,BN-96193,Gray LLC Pharma,Cool/Dry
MED-1144,Lipovin,Analgesic,89.84,221,16-04-2027,BN-30874,Davis LLC Pharma,Cool/Dry
MED-1145,Pannol,Antibiotic,142.94,429,01-11-2027,BN-32873,Johns-Cruz Pharma,Room Temp
MED-1146,Lipodex,Antiviral,70.59,476,17-12-2028,BN-29227,Richard-Rodriguez Pharma,Room Temp
MED-1147,Metdex,Dermatology,14.08,37,22-06-2027,BN-74233,"Williams, Adams and Rosales Pharma",Refrigerated
MED-1148,Metpril,Antibiotic,145.79,139,15-06-2028,BN-69685,Humphrey-Blevins Pharma,Cool/Dry
MED-1149,Althozole,Analgesic,85.75,216,30-06-2028,BN-53503,Nguyen Group Pharma,Refrigerated
MED-1150,Zyrzen,Cardiology,94.67,94,23-02-2029,BN-84814,Wise-Ramos Pharma,Room Temp
MED-1151,Zyrvin,Analgesic,108.83,26,20-09-2027,BN-64217,"Rice, Adams and Ramirez Pharma",Refrigerated
MED-1152,Exerfen,Cardiology,117.81,475,28-12-2027,BN-11949,"Hartman, Ellis and Fitzgerald Pharma",Room Temp
MED-1153,Zyrvin,Analgesic,65.45,78,22-01-2029,BN-15697,"Ford, Delgado and Hobbs Pharma",Cool/Dry
MED-1154,Cetimab,Dermatology,121,398,03-02-2027,BN-50235,"Horn, Kim and Whitehead Pharma",Refrigerated
MED-1155,Dolonol,Antiviral,51.54,425,03-08-2028,BN-41888,Wolf PLC Pharma,Cool/Dry
MED-1156,Zyrnol,Antibiotic,20.27,258,03-12-2027,BN-89053,Roberts PLC Pharma,Cool/Dry
MED-1157,Panfen,Antiviral,8.6,248,04-01-2027,BN-42639,"Walker, Glover and House Pharma",Refrigerated
MED-1158,Pandex,Analgesic,81.39,15,01-01-2027,BN-88303,"Sims, Barnett and Roberts Pharma",Cool/Dry
MED-1159,Exerzole,Antibiotic,39.36,307,12-07-2027,BN-88725,Sosa Ltd Pharma,Cool/Dry
MED-1160,Dolonol,Analgesic,76.53,200,24-05-2028,BN-36425,Conrad Ltd Pharma,Room Temp
MED-1161,Lipozen,Analgesic,71.47,13,03-01-2029,BN-80125,"Butler, Richards and King Pharma",Refrigerated
MED-1162,Metdex,Antibiotic,44.94,162,07-03-2027,BN-51982,"Brown, French and Tate Pharma",Refrigerated
MED-1163,Cetivin,Dermatology,115.52,357,24-08-2028,BN-44950,Vargas-Torres Pharma,Cool/Dry
MED-1164,Lipofen,Antibiotic,89.9,203,31-10-2026,BN-73386,"Jackson, Martinez and Hogan Pharma",Cool/Dry
MED-1165,Glycodex,Analgesic,63.99,54,26-08-2027,BN-17966,"Barron, Robbins and Lester Pharma",Cool/Dry
MED-1166,Lipopril,Analgesic,49.16,205,24-09-2027,BN-51854,Johnson Group Pharma,Room Temp
MED-1167,Pandex,Antiviral,91.13,121,13-12-2026,BN-86049,"Berry, Brennan and Lowery Pharma",Room Temp
MED-1168,Althozole,Antiviral,11.35,373,10-12-2027,BN-53402,Carroll-Thomas Pharma,Room Temp
MED-1169,Lipoline,Analgesic,64.06,105,10-07-2028,BN-75559,"Webb, Murphy and Escobar Pharma",Cool/Dry
MED-1170,Lipozen,Dermatology,73.8,156,31-01-2029,BN-50818,Taylor-Morrison Pharma,Cool/Dry
MED-1171,Glycodex,Cardiology,17.55,254,06-03-2027,BN-61392,Reyes Group Pharma,Room Temp
MED-1172,Metnol,Cardiology,39.74,449,26-07-2028,BN-54192,"Cochran, Villegas and Nichols Pharma",Refrigerated
MED-1173,Cetifen,Antibiotic,14.48,11,28-08-2028,BN-73322,Gilbert-Reed Pharma,Refrigerated
MED-1174,Glycotin,Cardiology,122.69,440,16-12-2028,BN-69139,Yang LLC Pharma,Refrigerated
MED-1175,Liponol,Antiviral,60.49,328,09-07-2028,BN-66165,Hayes-Cook Pharma,Refrigerated
MED-1176,Metzen,Dermatology,59.42,122,28-01-2029,BN-44685,Johnson and Sons Pharma,Refrigerated
MED-1177,Lipozole,Cardiology,73.46,25,18-09-2026,BN-39395,"Diaz, Hale and Miller Pharma",Cool/Dry
MED-1178,Cetiline,Analgesic,44.56,148,19-02-2027,BN-94608,Hodge Ltd Pharma,Refrigerated
MED-1179,Althopril,Antibiotic,107.59,350,14-12-2026,BN-82095,Chapman LLC Pharma,Cool/Dry
MED-1180,Glyconol,Antiviral,35.34,168,04-04-2027,BN-30984,Jones and Sons Pharma,Refrigerated
MED-1181,Dolovin,Analgesic,119.14,444,17-09-2027,BN-75486,Mckay Ltd Pharma,Cool/Dry
MED-1182,Liponol,Analgesic,141.87,473,07-03-2028,BN-12852,Holland LLC Pharma,Refrigerated
MED-1183,Exerdex,Antiviral,19.25,391,05-11-2028,BN-63369,"Miller, Stanley and Sanders Pharma",Cool/Dry
MED-1184,Exerfen,Cardiology,79.42,277,15-07-2027,BN-58474,Lee-Wong Pharma,Cool/Dry
MED-1185,Althomab,Analgesic,106.44,227,30-10-2027,BN-64631,Austin Ltd Pharma,Cool/Dry
MED-1186,Cetizole,Dermatology,65.9,196,24-12-2027,BN-56168,Irwin-Martinez Pharma,Cool/Dry
MED-1187,Exerzole,Dermatology,27.65,196,27-06-2028,BN-34561,Smith Group Pharma,Room Temp
MED-1188,Ibumab,Antiviral,48.39,211,08-12-2026,BN-35891,Harding-Martinez Pharma,Room Temp
MED-1189,Zyrzen,Antibiotic,63.35,108,07-08-2027,BN-43744,Anderson Ltd Pharma,Cool/Dry
MED-1190,Glycovin,Antibiotic,100.86,89,21-03-2027,BN-95413,Williams-Moreno Pharma,Room Temp
MED-1191,Cetitin,Antibiotic,106.46,403,24-02-2028,BN-46501,"Burns, Hansen and Boyd Pharma",Refrigerated
MED-1192,Panzen,Antibiotic,136.08,491,28-02-2029,BN-43672,Humphrey Inc Pharma,Refrigerated
MED-1193,Liponol,Dermatology,121.69,376,02-12-2028,BN-16141,Duffy-Miranda Pharma,Room Temp
MED-1194,Liponol,Antiviral,123.31,389,02-12-2026,BN-70981,"Ramos, Adams and Porter Pharma",Refrigerated
MED-1195,Lipoline,Cardiology,43.64,327,16-09-2027,BN-24257,"Martinez, Hernandez and Douglas Pharma",Room Temp
MED-1196,Lipofen,Antiviral,137.8,6,04-05-2027,BN-16967,"Smith, White and Smith Pharma",Refrigerated
MED-1197,Dolonol,Dermatology,79.52,108,14-10-2027,BN-80102,Ramirez and Sons Pharma,Cool/Dry
MED-1198,Exerline,Antiviral,19.01,350,13-03-2027,BN-37473,"Maldonado, Thomas and Stephens Pharma",Cool/Dry
MED-1199,Cetivin,Antibiotic,107.77,267,14-03-2028,BN-96755,Boone-Jones Pharma,Cool/Dry
MED-1200,Cetizen,Cardiology,87.4,332,07-03-2028,BN-92220,"Johnson, Jackson and Robertson Pharma",Room Temp
MED-1201,Metdex,Cardiology,136.58,347,01-10-2028,BN-67254,"Carter, Prince and Black Pharma",Cool/Dry
MED-1202,Cetitin,Cardiology,96.41,150,10-11-2028,BN-33109,"Collins, Miller and Glass Pharma",Cool/Dry
MED-1203,Zyrmab,Dermatology,36.02,472,11-12-2028,BN-71377,Walker-Greene Pharma,Room Temp
MED-1204,Dolozole,Antiviral,99.64,66,16-10-2028,BN-46340,Miller-Espinoza Pharma,Cool/Dry
MED-1205,Lipovin,Dermatology,13.12,150,29-06-2028,BN-87192,"Hernandez, Smith and Kim Pharma",Room Temp
MED-1206,Althonol,Cardiology,22.19,261,18-04-2027,BN-48378,Carter-Lindsey Pharma,Room Temp
MED-1207,Exervin,Cardiology,21.64,347,22-10-2027,BN-36713,Holloway and Sons Pharma,Cool/Dry
MED-1208,Dolonol,Dermatology,131.74,182,11-10-2026,BN-41716,Dominguez-Lopez Pharma,Room Temp
MED-1209,Dolovin,Antibiotic,82.1,185,24-09-2027,BN-84846,"Evans, Mitchell and Mccormick Pharma",Room Temp
MED-1210,Panfen,Analgesic,94.92,128,14-04-2028,BN-91833,"Green, Anderson and Chen Pharma",Room Temp
MED-1211,Althofen,Dermatology,95.52,130,25-03-2028,BN-96406,"Mendoza, Solis and Valentine Pharma",Refrigerated
MED-1212,Glycotin,Analgesic,56.69,39,20-10-2028,BN-67533,"Fields, Mitchell and Carter Pharma",Cool/Dry
MED-1213,Zyrpril,Antibiotic,49.66,439,22-01-2029,BN-29536,"Smith, Morales and Hodge Pharma",Cool/Dry
MED-1214,Cetiline,Antibiotic,8.61,130,13-09-2027,BN-28292,Thompson-Bass Pharma,Cool/Dry
MED-1215,Metzen,Dermatology,65.65,467,25-06-2028,BN-79834,"Smith, Rios and Collins Pharma",Cool/Dry
MED-1216,Lipovin,Analgesic,111.52,189,03-02-2027,BN-45020,Rodriguez-Becker Pharma,Cool/Dry
MED-1217,Cetidex,Dermatology,126.64,258,14-04-2027,BN-16942,Bautista Ltd Pharma,Cool/Dry
MED-1218,Ibufen,Dermatology,42.87,297,20-04-2028,BN-37065,Walker Ltd Pharma,Refrigerated
MED-1219,Glycozen,Antiviral,31.96,293,27-12-2027,BN-57371,Young-Hernandez Pharma,Room Temp
MED-1220,Cetifen,Antibiotic,58.06,120,16-09-2028,BN-26380,Moore PLC Pharma,Cool/Dry
MED-1221,Althotin,Analgesic,26.06,21,01-10-2028,BN-31298,"Whitehead, Townsend and Davis Pharma",Cool/Dry
MED-1222,Metvin,Antiviral,84.85,255,26-02-2028,BN-58565,Pitts PLC Pharma,Room Temp
MED-1223,Zyrzen,Cardiology,73.72,54,21-07-2027,BN-93346,Green and Sons Pharma,Cool/Dry
MED-1224,Dolovin,Dermatology,9.98,249,11-09-2026,BN-96934,Shaw-Crosby Pharma,Room Temp
MED-1225,Ibufen,Antiviral,107.47,180,13-06-2028,BN-74472,Goodwin PLC Pharma,Refrigerated
MED-1226,Metpril,Dermatology,79.1,62,28-03-2028,BN-46184,"Woodward, Wong and Howard Pharma",Room Temp
MED-1227,Metzole,Antibiotic,20.75,276,12-09-2026,BN-34469,"Garcia, Lewis and Stevenson Pharma",Refrigerated
MED-1228,Dolodex,Dermatology,47.94,101,31-01-2028,BN-35036,Hill-Webb Pharma,Room Temp
MED-1229,Exernol,Antibiotic,71.73,27,07-10-2028,BN-73167,Thomas LLC Pharma,Refrigerated
MED-1230,Zyrtin,Dermatology,62.8,346,30-12-2027,BN-76016,Shaw-Roach Pharma,Cool/Dry
MED-1231,Glycotin,Cardiology,100.65,238,11-10-2026,BN-37373,Weaver-Lucas Pharma,Cool/Dry
MED-1232,Althomab,Dermatology,93.79,18,27-05-2027,BN-14476,"Lee, Adams and Mendoza Pharma",Cool/Dry
MED-1233,Glycodex,Analgesic,87.23,133,26-09-2026,BN-29621,Foster-Sandoval Pharma,Room Temp
MED-1234,Metzole,Dermatology,85.54,55,30-03-2028,BN-88910,Reilly-Turner Pharma,Cool/Dry
MED-1235,Panvin,Antiviral,66.2,486,22-03-2027,BN-61475,"Cook, Nelson and Robinson Pharma",Refrigerated
MED-1236,Zyrfen,Dermatology,101.83,451,04-03-2027,BN-38549,Nixon Inc Pharma,Room Temp
